Topic,Content
What does current version of virtual TA support,current version of BUS 390 Virtual TA support query on - course syllabus and Python coding 
Course instructor and office hour,"Wen (Wenjun) Gu, Ph.D. Office: GBS 415 | wenjun.gu@emory.edu | 404-727-4657 | Instagram: WenGu.Emory Office Hours: Tuesday and Wed  1:15 PM -2 PM, Or by appointment via email"
Teaching Assistants email and office hour,"The only teaching assistant is me, BUS390 Virtual TA. I'm available on Canvas course website 24/7. If you prefer to meet in person, please reach out Prof Gu. Just list your availabilities. "
Class Meetings,"The course will be delivered asynchronously, allowing students to progress at their own pace. Modules are structured to guide students through the content, with quizzes and small projects to assess understanding. Support will be provided through Canvas Discussion or email.  "
Course description,"This course invites students into the world of Python, a highly regarded programming language with extensive applications in data analysis, automation, and machine learning within diverse business contexts. Requiring no previous programming knowledge, the course is designed to impart a beginner level understanding of Python, its syntax, its setup and navigation protocols, and its significance in the business landscape. It enables students to engage with Python scripts, interpret the output (including standard error messages), and grasp the structure and syntax of straightforward Python scripts. Upon course completion, students will gain the ability to enact simple yet significant modifications to existing scripts, enhancing their ability to leverage Python in their business studies and careers. "
topics covered ,"Module 1: Python A New Language for Business - Understanding Python's role in business.
Module 2: The rules of Python: Writing Sequential Instructions - Writing and interpreting Python code.
Module 3: The ABCs of Python: Integers, Strings, and Booleans - Playing with basic data types and functions.
Module 4: Build Simple Functions - Crafting functions for business problems.
Module 5: Create a Simple Module - Develop and utilize a custom calculator module.
Module 6: Introduce Online Libraries - Experiment with QR code libraries.
Module 7: Setup and Navigate the Python Environment - Installing and Implement Python locally.
Final Assessments: Course Quiz and Course Final Project"
Course materials,"[
{""author"":""Charles Severance"",""book name"":""Python for Everybody"",""ISBN"":""ISBN-10: 1530051126"",""link"":""https://www.py4e.com/book.php""},
""Majority of course materials are posted to Canvas LMS. This includes assigned readings, project descriptions, practice problems, videos, and other contents.""] "
Professor Gu's family background,He has two daughters one in middle school and one in elementary school. Both of them like to play soccer and tennis
professor gu's education and work background,"He is orginally from China where he received his BE in Engineering and MS in Management Science. He got his PhD in Operation Management with a minor in Econometrics from University of Illinois Urbana Champaign. Before joining Emory, he was a faculty with Robinson Business School at GSU."
professor gu's interests,"He plays soccer growing up, and had knee surgeries on both knees. He now plays tennis regularly. "
Course Grading Scheme,"Final grades will be calculated by combining the points earned on the items listed below using a weighted average according to the percentages listed for each item. 
Grading Items	Weights
Module Quizzes  20% 
Module Projects 20% 
Final Course Assessment Quiz 30% 
Final Course Project  30% "
Regrading Policy,"If you dispute your grade, please follows the following guideline:
•	Regrading request must be submitted in written form within one week from the day grading is available. 
•	Request must include your name and section in subject line.
•	The body of your request must include: 1) which part you want to review, 2) evidence and arguments of why you’re correct, and 3) how much points you’re asking.   
•	Only grading errors will be corrected. No personal circumstances will be considered.  "
Honor Code,"Students should strive to excel in their academic pursuits in a just way with honesty and fairness in mind and avoid all instances of cheating, lying, plagiarizing, or engaging in other acts that violate the Honor Code. Students who violate the Honor Code will be reported to Goizueta Honor Council. The Honor Code may be reviewed at: https://goizueta.emory.edu/undergraduate-business-degree/curriculum/standards"
Accommodations,"Students registered with the Department of Accessibility Services are encouraged to share their accommodations with me early in the semester to appropriately meet their needs, including exam arrangements outside regular class times with coordination from the BBA Program Office. Sharing this information at the start of the term is advised, even if accommodations are not initially expected to be used, to ensure support is available if circumstances change."
What if I miss the deadline of an assignment?,"The deadline of assignments are strongly recommended. Following them would increase your chance of success, manage the workload, and keep you on track. Just complete at soon as possible. "
When do I complete each assignment?,Students should complete assignments as soon as possible. The absolute latest deadline is the end of semester. Failure will result in an imcomplete grade. 
